Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
900140,KYG5307W1015,엘브이엠씨홀딩스,KOSPI,,1207,1,10,0.84,1197,1211,1192,140039,168432448,233241201424,193240432,STK
226320,KR7226320000,잇츠한불,KOSPI,,10610,1,80,0.76,10590,10650,10480,15431,162711740,232670032150,21929315,STK
003650,KR7003650009,미창석유,KOSPI,,133500,1,1500,1.14,132000,134700,131500,1434,190007200,232246212000,1739672,STK
044450,KR7044450005,KSS해운,KOSPI,,10230,1,110,1.09,10120,10440,10120,56476,581249900,230968080750,22577525,STK
002320,KR7002320000,한진,KOSPI,,14870,3,0,0.0,14810,15190,14770,15666,233232660,230761819920,15518616,STK
001340,KR7001340009,PKC,KOSPI,,5100,1,100,2.0,5000,5110,5000,70875,358853990,229643253900,45028089,STK
475560,KR7475560009,더본코리아,KOSPI,,15430,1,340,2.25,15090,15660,15090,31705,489204745,228795577100,14827970,STK
001470,KR7001470004,삼부토건,KOSPI,,5820,0,0,0.0,0,0,0,0,0,227794235460,39139903,STK
000320,KR7000320002,노루홀딩스,KOSPI,,17090,1,140,0.83,17220,17340,16750,4830,82269315,227145770590,13291151,STK
134380,KR7134380005,미원화학,KOSPI,,10290,2,-60,-0.58,10350,10500,10290,6411,66066640,226304677200,21992680,STK
092200,KR7092200005,디아이씨,KOSPI,,5810,1,190,3.38,5700,6010,5700,266954,1557112745,225942585890,38888569,STK
034120,KR7034120006,SBS,KOSPI,,12150,1,40,0.33,12260,12260,12100,2422,29483310,225397541700,18551238,STK
009680,KR7009680000,모토닉,KOSPI,,10370,2,-30,-0.29,10350,10370,10290,7810,80776730,225372184780,21733094,STK
000050,KR7000050005,경방,KOSPI,,8160,2,-10,-0.12,8170,8240,8110,12259,100173310,223708603200,27415270,STK
432320,KR7432320000,KB스타리츠,KOSPI,,1483,1,14,0.95,1465,1497,1465,203720,301904643,223583434655,150764285,STK
033920,KR7033920000,무학,KOSPI,,7730,2,-10,-0.13,7770,7860,7680,16946,131376290,220305000000,28500000,STK
001250,KR7001250000,GS글로벌,KOSPI,,2660,1,25,0.95,2640,2715,2630,337836,897756740,219539812240,82533764,STK
035150,KR7035150002,백산,KOSPI,,10900,1,150,1.4,10890,10910,10620,8321,90179710,215504761100,19771079,STK
005010,KR7005010004,휴스틸,KOSPI,,3830,1,40,1.06,3780,3865,3760,205583,783115401,215200327250,56188075,STK
298000,KR7298000001,효성화학,KOSPI,,56000,1,600,1.08,55400,56900,54500,25650,1426302550,212341416000,3791811,STK
000480,KR7000480004,CR홀딩스,KOSPI,,4525,2,-5,-0.11,4540,4540,4480,9003,40662170,212179467250,46890490,STK
017860,KR7017860008,DS단석,KOSPI,,11780,1,260,2.26,11520,11800,11500,29562,346483690,207959808520,17653634,STK
011500,KR7011500006,한농화성,KOSPI,,13290,1,310,2.39,13050,13470,13050,30495,405086615,207816288180,15637042,STK
003720,KR7003720000,삼영,KOSPI,,6060,1,110,1.85,5980,6110,5960,107461,646995510,206040000000,34000000,STK
004980,KR7004980009,성신양회,KOSPI,,8400,2,-30,-0.36,8400,8580,8260,94150,787481760,205935013200,24516073,STK
000650,KR7000650002,천일고속,KOSPI,,143700,1,600,0.42,143100,146300,142000,1171,168683450,205378914000,1429220,STK
003520,KR7003520004,영진약품,KOSPI,,1116,1,4,0.36,1110,1125,1104,271123,302290536,204108287796,182892731,STK
088260,KR7088260005,이리츠코크렙,KOSPI,,3205,1,5,0.16,3205,3230,3180,53324,171089715,203009795950,63341590,STK
100250,KR7100250000,진양홀딩스,KOSPI,,3175,1,20,0.63,3160,3180,3155,40629,128640735,202882500000,63900000,STK
037270,KR7037270006,YG PLUS,KOSPI,,3170,1,95,3.09,3080,3170,3080,118964,373521153,201812058700,63663110,STK
028100,KR7028100006,동아지질,KOSPI,,17720,1,350,2.01,17370,17750,17340,22958,405081190,198855913240,11222117,STK
